department,code,name
ADEM,ADMI3009,INTRODUCCIÓN A LOS NEGOCIOS GERENCIA Y ÉTICA
ADEM,ADMI3010,COMPETENCIA EN COMPUTADORA PARA LA TOMA DE DECISIONES
ADEM,ADMI3015,INTRODUCCIÓN AL COMERCIO INTERNACIONAL
ADEM,ADMI3017,INTRODUCCIÓN AL DESARROLLO EMPRESARIAL
ADEM,ADMI3028,TÉCNICAS AVANZADAS DE HOJAS DE CÁLCULO
ADEM,ADMI3100,DESARROLLO DE NUEVAS EMPRESAS
ADEM,ADMI3125,GESTIÓN EMPRESARIAL BASADA EN TECNOLOGÍA
ADEM,ADMI3150,DESARROLLO DEL PLAN DE NEGOCIO
ADEM,ADMI3155,CREATIVIDAD E INNOVACIÓN EMPRESARIAL
ADEM,ADMI3315,FUNDAMENTOS DE COMERCIO ELECTRÓNICO
ADEM,ADMI4001,INTRODUCCIÓN AL DERECHO
ADEM,ADMI4002,DERECHO MERCANTIL
ADEM,ADMI4016,AMBIENTE DE ORGANIZACIONES
ADEM,ADMI4018,GERENCIA ESTRATÉGICA
ADEM,ADMI4026,CULTURA EMPRENDEDORA Y LAS ORGANIZACIONES INTERNACIONALES
ADEM,ADMI4039,MÉTODOS DE INVESTIGACIÓN EN LOS NEGOCIOS
ADEM,ADMI4056,SEMINARIO
ADEM,ADMI4085,FUNDAMENTOS DE LA GERENCIA DE PROYECTOS
ADEM,ADMI4116,LA DIMENSIÓN HUMANA EN LA GERENCIA DE PROYECTO
ADEM,ADMI4335,ESTRATEGIAS DE CAMBIO Y CRECIMIENTO PARA PEQUEÑAS Y MEDIANAS EMPRESAS
ADEM,ADMI4995,PROBLEMAS ESPECIALES
ADEM,ADMI4996,ASESORAMIENTO A PEQUEÑAS EMPRESAS
ADEM,ADMI4997,PRACTICA DE EMPRESAS PARA ESTUDIANTES DEL PLAN COOP
ADEM,CONT3011,PRINCIPIOS DE CONTABILIDAD FINANCIERA I
ADEM,CONT3012,PRINCIPIOS DE CONTABILIDAD FINANCIERA II
